item,count,rank
356,81410,1
318,81352,2
296,79599,3
593,74057,4
2571,72631,5
260,68521,6
480,64095,7
527,60331,8
110,59145,9
2959,58741,10
589,57355,11
1196,57324,12
1,57086,13
4993,55708,14
50,55314,15
1210,54823,16
1198,54636,17
2858,53661,18
858,52401,19
5952,51105,20
7153,50759,21
47,50567,22
457,49589,23
1270,49580,24
780,48622,25
150,48322,26
608,47657,27
32,46874,28
2028,46756,29
2762,46688,30
3578,44643,31
592,44062,32
588,43334,33
364,42720,34
4306,42282,35
380,41626,36
590,41563,37
58559,41477,38
377,41284,39
4226,41175,40
1580,40302,41
1704,38928,42
79132,38874,43
1240,38604,44
1291,37897,45
1197,37847,46
1136,37714,47
1721,37693,48
1265,37611,49
344,37422,50
6539,37210,51
648,36798,52
1036,36704,53
541,36689,54
1214,36349,55
1193,36037,56
595,35696,57
6377,34696,58
1089,34626,59
367,34607,60
1097,34596,61
4886,34547,62
4973,34295,63
597,34215,64
500,34175,65
1221,34160,66
6874,33814,67
1682,33716,68
165,33699,69
293,33676,70
7361,33212,71
1527,33145,72
1213,32655,73
3793,32579,74
2716,32111,75
2628,31826,76
231,31823,77
4963,31766,78
4995,31748,79
1200,31678,80
34,31432,81
2329,31139,82
153,31071,83
316,30885,84
736,30798,85
33794,30671,86
8961,30551,87
3147,30456,88
5445,30173,89
5349,30001,90
2997,29937,91
1258,29918,92
1206,29847,93
586,29525,94
111,29120,95
5418,28924,96
924,28811,97
778,28670,98
587,28494,99
7438,28493,100
10,28243,101
539,28117,102
5989,27932,103
1073,27922,104
3996,27894,105
1732,27817,106
1961,27799,107
349,27742,108
1617,27728,109
253,27567,110
208,27365,111
60069,27361,112
4878,27170,113
2918,27091,114
912,26873,115
750,26706,116
357,26690,117
3114,26522,118
1208,26365,119
39,26223,120
4896,26028,121
44191,25986,122
1222,25942,123
59315,25666,124
48516,25337,125
1923,25135,126
68954,25116,127
4011,25098,128
4022,25007,129
2683,24944,130
1246,24941,131
2706,24853,132
292,24749,133
919,24651,134
329,24589,135
72998,24539,136
6,24458,137
2115,24303,138
2,24211,139
